TITLE,RESTAURANT_ID,CUISINES,TIME,CITY,LOCALITY,RATING,VOTES,COST
CASUAL DINING,9066,"North Indian, Mughlai",11am – 11pm (Mon-Sun),New Delhi,Connaught Place,4.0,618 votes,700
CASUAL DINING,6536,"Chinese, North Indian, Hyderabadi, Biryani",11am – 12midnight (Mon-Sun),Bangalore,Banaswadi,3.5,182 votes,500
QUICK BITES,9893,"North Indian, Chinese, Biryani",7am – 11:30pm (Mon-Sun),Chennai,Park Town,3.7,37 votes,500
QUICK BITES,4109,"Cafe, Beverages, Tea",4:30am – 11:45pm (Mon-Sun),Hyderabad,Madhapur,3.9,124 votes,100
CAFÉ,2379,"Cafe, Fast Food",9:30am – 6:30pm (Mon-Sun),Kochi,Mattancherry,3.6,25 votes,500
CAFÉ,13349,"Cafe, North Indian, Continental, Chinese",11am – 4am (Mon-Sun),New Delhi,Vijay Nagar,4.2,776 votes,600
CASUAL DINING,1808,"North Indian, Biryani",12noon – 11pm (Mon-Sun),Kochi,Kakkanad,2.5,117 votes,400
CAFÉ,11097,"Cafe, Mexican, American, Italian, Lebanese, Continental, Salad",11am – 11pm (Mon-Sun),New Delhi,Delhi University-GTB Nagar,4.2,5812 votes,900
QUICK BITES,10357,"Italian, Pizza",11am – 11pm (Mon-Sun),Gurgaon,Sector 56,3.7,436 votes,700
CASUAL DINING,5045,North Indian,12noon – 12:30AM (Mon-Sun),New Delhi,Connaught Place,3.8,2987 votes,1300
FINE DINING,5020,"North Indian, Continental, Seafood, Salad",12noon – 12midnight (Mon-Sun),Mumbai,Mahalaxmi,4.5,1883 votes,2500
None,15231,"American, Fast Food, Sandwich, Beverages",9am – 3am (Mon-Sun),Delhi NCR,Gurgaon,4.5,477 votes,600
None,14172,"North Indian, Chinese",7am – 2am (Mon-Sun),New Delhi,Guru Ram Das Nagar Laxmi Nagar,NEW,,400
CASUAL DINING,4199,"North Indian, Street Food, Italian",11am – 11pm (Mon-Sun),Chennai,Gopalapuram,3.7,94 votes,800
"BAKERY,QUICK BITES",5181,"Bakery, Fast Food",8am – 11:30pm (Mon-Sun),New Delhi,Vikaspuri,3.8,432 votes,300
"FINE DINING,BAR",6740,North Indian,"12noon – 3:30pm, 7pm – 12:30AM (Mon-Sun)",New Delhi,Lodhi Colony,4.4,625 votes,3000
None,5188,"North Indian, Biryani, Mughlai","12noon – 12midnight (Mon-Thu),12midnight – 1am...",Mumbai,4 Bungalows,4.2,846 votes,700
CASUAL DINING,10151,"North Indian, Mughlai, Chinese, Seafood",8am – 12midnight (Mon-Sun),Mumbai,Mohammad Ali Road,3.8,251 votes,650
QUICK BITES,6398,"North Indian, Chinese",8am – 12midnight (Mon-Sun),Mumbai,Mahakali,3.8,572 votes,450
QUICK BITES,4798,"North Indian, Fast Food, Chinese, Burger","12midnight – 5am, 7pm – 12midnight (Mon-Sun)",Bangalore,Banashankari,2.8,504 votes,500
QUICK BITES,13011,"South Indian, Chinese, North Indian, Biryani",7am – 12midnight (Mon-Sun),Bangalore,Banaswadi,3.9,66 votes,400
QUICK BITES,1397,"North Indian, Tea",11:30am – 9pm (Mon-Sun),New Delhi,F 5/10 Mandir Marg Krishna Nagar,3.6,20 votes,100
QUICK BITES,4609,"Biryani, Kebab, Rolls",12noon – 12midnight (Mon-Sun),Bangalore,Residency Road,3.9,460 votes,400
QUICK BITES,4265,Fast Food,9am – 11:55pm (Mon-Sun),Secunderabad,Dr A.S Rao Nagar Main Road,3.8,251 votes,500
BAKERY,2207,"Bakery, Fast Food",7:30am – 9:30pm (Mon-Sun),Bangalore,Malleshwaram,3.9,135 votes,250
CLUB,11133,Finger Food,5pm – 12midnight (Mon-Sun),New Delhi,Nehru Place,3.5,44 votes,3000
DESSERT PARLOR,702,"Bakery, Desserts",8am – 10pm (Mon-Sun),Bangalore,HSR,4.1,161 votes,400
QUICK BITES,10359,"Pizza, Fast Food",11am – 11pm (Mon-Sun),Faridabad,NIT,3.9,2257 votes,300
CASUAL DINING,4619,"Seafood, Mediterranean, North Indian, Chinese, Arabian","12:30pm – 3:30pm, 7pm – 11pm (Mon-Sun)",Chennai,Egmore,3.3,350 votes,900
QUICK BITES,8127,"American, Fast Food",11am – 10pm (Mon-Sun),Chennai,Anna Nagar West,3.3,80 votes,400
QUICK BITES,2097,South Indian,"9am – 6pm (Mon-Sat),8am – 11:30am (Sun)",Bangalore,St. Marks Road,NEW,,200
CASUAL DINING,12494,"European, Mexican, Italian",11:30am – 11pm (Mon-Sun),Mumbai,Nariman Point,4.3,2338 votes,1200
QUICK BITES,6722,"North Indian, Chinese",11am – 11pm (Mon-Sun),Ghaziabad,Shastri Nagar,NEW,,300
BAR,5668,"Finger Food, North Indian, Chinese",11am – 11pm (Mon-Sun),Bangalore,Wilson Garden,4.0,144 votes,1000
FINE DINING,5212,Chinese,"12:30pm – 2:45pm, 7pm – 11:45pm (Mon-Sun)",Chennai,Nungambakkam,4.3,221 votes,2800
None,13117,"Continental, Italian, Lebanese, Sandwich, Burger, Pizza","7pm – 4:30am (Mon-Wed),7pm – 4am (Thu-Sun)",,,4.4,201 votes,500
QUICK BITES,22,"South Indian, North Indian",11am – 11pm (Mon-Sun),Kochi,Thevara,-,,250
CAFÉ,2356,"Cafe, Italian, Continental, Beverages","12noon – 11pm (Mon, Tue, Wed, Thu, Sat, Sun)...",Bangalore,Indiranagar,4.1,148 votes,700
"CASUAL DINING,BAR",14555,"Chinese, Continental, North Indian",11am – 12midnight (Mon-Sun),New Delhi,Punjabi Bagh,4.2,922 votes,1000
QUICK BITES,4422,"North Indian, Chinese, Continental","6:30am – 10:30am, 12:15pm – 1pm, 7pm – 11pm...",Kochi,Pallimukku,3.0,6 votes,400
CASUAL DINING,12308,"North Indian, Chinese, Seafood, Mangalorean","12midnight – 12:55AM, 12:30pm – 12midnight...",Bangalore,Shanti Nagar,3.5,43 votes,550
CASUAL DINING,3095,"Chinese, Seafood","12noon – 4pm, 7pm – 10:30pm (Mon-Sun)",Hyderabad,Neredmet,3.8,154 votes,600
BAKERY,2608,"Bakery, Desserts","4pm – 11pm (Mon),11am – 11pm (Tue-Sun)",Mumbai,Mulund West,3.9,87 votes,300
CASUAL DINING,13201,"North Indian, Continental, South Indian",7:30am – 11pm (Mon-Sun),Bangalore,International Airport,3.5,19 votes,800
QUICK BITES,7596,Kerala,"8am – 4pm, 6pm – 10pm (Mon-Sun)",Kochi,Subhash Chandra Bose Road Kadavanthra,-,,300
CASUAL DINING,14284,"North Indian, Asian, Chinese",11:30am – 12midnight (Mon-Sun),Mumbai,Mira Road East,4.1,242 votes,600
CASUAL DINING,7963,"North Indian, Chinese, Italian, European, Thai, Continental, Momos",7pm – 4:30am (Mon-Sun),Mumbai,4 Bungalows,4.0,472 votes,800
CAFÉ,14824,"Cafe, Beverages, Fast Food, North Indian","8:30am – 11:30pm (Mon-Sat),9am – 11:30pm (Sun)",Mumbai,Ville Parle East,4.0,398 votes,550
"CASUAL DINING,CAFÉ",13920,"Continental, Chinese, American, Cafe, Desserts, Steak",11am – 11pm (Mon-Sun),Chennai,Besant Nagar,3.7,80 votes,600
DESSERT PARLOR,9834,"Beverages, Ice Cream, Bakery",10:30am – 12:30AM (Mon-Sun),Hyderabad,Kothapet,3.7,69 votes,300
QUICK BITES,7519,"South Indian, North Indian, Andhra",7am – 10pm (Mon-Sun),Chennai,Mogappair,4.2,395 votes,350
QUICK BITES,14729,"South Indian, North Indian, Chinese",7am – 10:30am (Mon-Sun),Secunderabad,Paradise Circle,3.7,116 votes,300
CASUAL DINING,8519,North Indian,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",Chennai,Nungambakkam,4.1,246 votes,900
QUICK BITES,4915,Arabian,1pm – 12midnight (Mon-Sun),Hyderabad,Banjara Hills,4.1,1660 votes,150
CASUAL DINING,13091,"North Indian, Chinese, Continental, Desserts, Sandwich",11am – 11:30pm (Mon-Sun),New Delhi,Dwarka,4.1,438 votes,1800
QUICK BITES,12152,"North Indian, South Indian, Chinese",11am – 11pm (Mon-Sun),Hyderabad,Miyapur,2.9,262 votes,600
QUICK BITES,12726,South Indian,11am – 11pm (Mon-Sun),Hyderabad,Habsiguda,3.4,541 votes,350
DESSERT PARLOR,4255,"Bakery, Juices",8am – 9pm (Mon-Sun),Kochi,Edappally,-,,150
QUICK BITES,11508,North Indian,"11:30am – 3pm, 6:30pm – 10:30pm (Mon-Sun)",Bangalore,Malleshwaram,4.1,218 votes,250
"CASUAL DINING,BAR",8725,Italian,12noon – 12:30AM (Mon-Sun),Mumbai,Bandra West,4.6,186 votes,2000
QUICK BITES,12891,"Salad, Fast Food, Sandwich, Healthy Food",11am – 11pm (Mon-Sun),Bangalore,Jayanagar,3.1,116 votes,500
QUICK BITES,3779,"North Indian, Fast Food",5pm – 11pm (Mon-Sun),New Delhi,Malviya Nagar,3.6,42 votes,300
CASUAL DINING,3180,"Chinese, Momos","12noon – 3pm, 7pm – 11pm (Mon-Sun)",Chennai,Ashok Nagar,3.8,143 votes,600
CAFÉ,2564,"Cafe, Continental, Beverages",11am – 11pm (Mon-Sun),Faridabad,Sector 15,4.1,508 votes,650
QUICK BITES,4337,"Fast Food, Rolls, Lebanese",11am – 11pm (Mon-Sun),Kochi,Aluva,3.3,9 votes,300
CASUAL DINING,718,"Continental, Italian, Mediterranean",8am – 12:30AM (Mon-Sun),New Delhi,Chanakyapuri,4.1,1113 votes,2400
"BAKERY,DESSERT PARLOR",4985,"Bakery, Desserts",12noon – 12midnight (Mon-Sun),Hyderabad,Jubilee Hills,2.9,52 votes,300
DHABA,4502,"North Indian, Maharashtrian, Malwani, Chinese",3pm – 1:30am (Mon-Sun),Thane,Kalwa,4.2,218 votes,900
QUICK BITES,7337,North Indian,6pm – 4am (Mon-Sun),New Delhi,Vasant Kunj,4.0,38 votes,300
QUICK BITES,1898,Continental,12noon – 1am (Mon-Sun),Hyderabad,Himayath Nagar,3.9,248 votes,400
CASUAL DINING,13395,Thai,11am – 11pm (Mon-Sun),New Delhi,Mehrauli,4.0,793 votes,2200
"CASUAL DINING,BAR",10666,North Indian,7pm – 11:30pm (Mon-Sun),Bangalore,Richmond Road,3.9,169 votes,1700
CAFÉ,13898,"Cafe, Italian, Continental, Chinese, Salad, Momos",12noon – 11pm (Mon-Sun),New Delhi,Delhi University-GTB Nagar,4.2,3070 votes,900
"QUICK BITES,SWEET SHOP",12187,"Mithai, Fast Food, Chinese, Beverages",8am – 11pm (Mon-Sun),Ghaziabad,Vasundhara,3.7,64 votes,350
BEVERAGE SHOP,11214,"Beverages, Juices, Healthy Food","7am – 9pm (Mon-Thu),7am – 11pm (Fri-Sun)",Bangalore,JP Nagar,3.8,24 votes,250
QUICK BITES,5803,"Street Food, Chinese",11am – 11pm (Mon-Sun),Secunderabad,A S Rao Nagar,3.5,243 votes,250
CASUAL DINING,6424,"North Indian, Chinese, Biryani","12:30pm – 3:30pm, 7pm – 10:30pm (Mon-Sun)",Hyderabad,Kukatpally,3.6,645 votes,700
QUICK BITES,4074,"Biryani, Chinese","11am – 4pm, 6:30pm – 10:30pm (Mon-Sun)",Bangalore,RT Nagar,3.6,125 votes,250
QUICK BITES,550,Arabian,1pm – 11pm (Mon-Sun),Hyderabad,Mehdipatnam,3.3,95 votes,200
CASUAL DINING,1871,"North Indian, Biryani, Chinese",11am – 11pm (Mon-Sun),Hyderabad,Gachibowli,3.7,680 votes,500
LOUNGE,14904,"Chinese, Continental, North Indian, Finger Food",12noon – 12midnight (Mon-Sun),Bangalore,HSR,4.4,1044 votes,1200
QUICK BITES,15177,"Rolls, Fast Food, Sandwich",11:30am – 11pm (Mon-Sun),Chennai,Potheri,3.4,82 votes,200
QUICK BITES,9293,Kerala,6am – 9:30pm (Mon-Sun),Kochi,Vyttila,-,,200
CASUAL DINING,7947,"European, Asian, Italian",10am – 10pm (Mon-Sun),Gurgaon,Sector 56,3.9,48 votes,1300
QUICK BITES,6809,"Italian, Pizza",11am – 5am (Mon-Sun),Mumbai,Khar West,3.7,332 votes,500
None,13945,Continental,11am – 10pm (Mon-Sun),Gurgaon,Sushant Lok,3.9,115 votes,800
CASUAL DINING,5700,North Indian,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Wed),12noon...",Bangalore,HSR,3.9,885 votes,1000
QUICK BITES,13014,"Fast Food, North Indian","11:30am – 3pm, 5pm – 10:30pm (Mon-Fri),10am –...",Hyderabad,Madhapur,3.9,270 votes,350
"CASUAL DINING,BAR",4404,"Italian, Fast Food, Salad, BBQ",11:30am – 11pm (Mon-Sun),Bangalore,Jayanagar,4.0,1073 votes,1200
"CAFÉ,CASUAL DINING",6906,"Cafe, Chinese, Italian, Continental, North Indian, Mexican, Desserts",10:30am – 11:30pm (Mon-Sun),Mumbai,Thane,4.5,509 votes,800
CAFÉ,3801,Cafe,24 Hours (Mon-Sun),Kochi,Vennala,3.6,27 votes,1100
DESSERT PARLOR,3548,"Desserts, Bakery","8:30am – 10pm (Mon-Thu),8:30am – 11pm...",Bangalore,Sarjapur Road,3.9,180 votes,300
QUICK BITES,3175,North Indian,10am – 10pm (Mon-Sun),Bangalore,Electronic City,NEW,,300
CASUAL DINING,12506,"Mughlai, North Indian, Continental","7:30am – 10am, 12:30pm – 3:30pm, 7:30pm –...",Bangalore,Marathahalli,3.9,66 votes,1000
FINE DINING,6826,"Japanese, Asian","12:30pm – 3:30pm, 7:30pm – 11:30pm (Mon-Sun)",Mumbai,Santacruz West,4.1,1271 votes,2500
CASUAL DINING,8917,"Continental, Lucknowi, Italian","12noon – 4pm, 6pm – 12midnight (Mon, Thu)...",Mumbai,Dahisar West,4.6,878 votes,1300
None,4386,"South Indian, North Indian","12:30pm – 3:30pm, 6:30pm – 11pm (Mon-Sun)",Chennai,Royapettah,3.4,19 votes,300
QUICK BITES,3515,Italian,2pm – 10pm (Mon-Sun),Chennai,Chromepet,2.9,10 votes,300
CASUAL DINING,8237,"Chinese, Thai, Asian","12noon – 3pm, 7pm – 11pm (Mon-Sun)",Bangalore,Koramangala 3rd Block,4.1,690 votes,900
CASUAL DINING,819,"North Indian, Chinese",12noon – 11pm (Mon-Sun),New Delhi,Mayur Vihar Phase 1,3.9,894 votes,900
QUICK BITES,14891,"South Indian, Biryani",12noon – 11pm (Mon-Sun),Chennai,George Town,3.8,69 votes,250
CASUAL DINING,3226,North Indian,8am – 11pm (Mon-Sun),Hyderabad,Abids,3.7,31 votes,600
BAKERY,2644,"Bakery, Desserts",9am – 10pm (Mon-Sun),Chennai,Porur,3.9,118 votes,250
FOOD COURT,2798,Street Food,12noon – 11pm (Mon-Sun),Hyderabad,Necklace Road,3.8,51 votes,250
BAR,3298,"Asian, European",7pm – 12midnight (Mon-Sun),New Delhi,Khel Gaon Marg,3.9,294 votes,1800
PUB,14564,"North Indian, Chinese, Continental",6pm – 12:30AM (Mon-Sun),Bandra West,Pali Hill,3.9,1040 votes,2200
QUICK BITES,9689,"Street Food, South Indian, North Indian",11am – 10:30pm (Mon-Sun),Chennai,West Mambalam,3.8,368 votes,200
CAFÉ,4965,Cafe,8:30am – 11pm (Mon-Sun),Gurgaon,Sushant Lok,4.0,406 votes,400
CASUAL DINING,7578,"Andhra, Biryani",10am – 11pm (Mon-Sun),Bangalore,Bannerghatta Road,3.8,135 votes,800
QUICK BITES,12642,South Indian,6am – 11pm (Mon-Sun),Hyderabad,Lingampally,3.6,179 votes,400
CASUAL DINING,11470,"Chinese, Mughlai, North Indian, Beverages","9am – 12:30AM (Mon, Tue, Wed, Thu, Sat, Sun), 9am...",Mumbai,Khar,3.7,245 votes,500
QUICK BITES,9263,"North Indian, Chinese",7am – 4am (Mon-Sun),Greater Noida,Gaur City 1,4.3,606 votes,500
CASUAL DINING,5385,"Arabian, BBQ, Biryani, Chinese, Chettinad, North Indian",11am – 11pm (Mon-Sun),Chennai,Kolathur,3.1,103 votes,400
"SWEET SHOP,CASUAL DINING",13840,"Mithai, Street Food, South Indian",9am – 10pm (Mon-Sun),Chennai,Anna Nagar West,4.0,204 votes,500
None,10253,Fast Food,10am – 10pm (Mon-Sun),Mumbai,Dadar Shivaji Park,NEW,,300
QUICK BITES,183,Biryani,11am – 11pm (Mon-Sun),Noida,Sector 135,3.7,93 votes,400
QUICK BITES,8418,"North Indian, Fast Food, Street Food",11am – 9pm (Mon-Sun),Chennai,Kodambakkam,3.8,94 votes,250
QUICK BITES,10279,Healthy Food,9:30am – 11:30pm (Mon-Sun),Mumbai,4 Bungalows,NEW,,300
None,9355,"North Indian, South Indian",7:30am – 12midnight (Mon-Sun),Bangalore,Hosur Road,3.5,14 votes,200
QUICK BITES,8910,Fast Food,11am – 11pm (Mon-Sun),Kochi,Palarivattom,-,,150
CASUAL DINING,5755,"North Indian, Mughlai, Biryani, Chinese",12noon – 12midnight (Mon-Sun),Hyderabad,Lingampally,3.0,1068 votes,500
None,5674,"Healthy Food, Juices, Salad, Continental, Sandwich",8am – 11pm (Mon-Sun),New Delhi,Lado Sarai,3.9,423 votes,600
CASUAL DINING,13447,"Italian, Pizza",10:30am – 11:30pm (Mon-Sun),Mumbai,Borivali West,4.0,163 votes,550
CASUAL DINING,11314,"North Indian, Mughlai, Chinese, Biryani",12noon – 11pm (Mon-Sun),Hyderabad,Ameerpet,3.7,420 votes,500
FOOD TRUCK,7805,"Continental, Italian","Closed (Mon),4pm – 10pm (Tue-Sun)",Hyderabad,Rajendra Nagar,4.0,78 votes,400
CASUAL DINING,11971,"South Indian, North Indian, Chinese",7am – 10:30pm (Mon-Sun),Bangalore,JP Nagar,3.6,521 votes,400
CASUAL DINING,9284,"Biryani, Beverages, South Indian, Chinese",7am – 10:30pm (Mon-Sun),Kochi,Kakkanad,3.8,157 votes,250
QUICK BITES,14596,"Healthy Food, Beverages",10am – 8pm (Mon-Sun),Kochi,Edappally,NEW,,300
QUICK BITES,2951,Pizza,11am – 3am (Mon-Sun),Navi Mumbai,Seawoods,3.7,389 votes,500
"FINE DINING,BAR",15216,"Continental, Modern Indian",7:30pm – 12midnight (Mon-Sun),Andheri West,Andheri Lokhandwala,4.2,349 votes,2500
CASUAL DINING,11652,"South Indian, North Indian",12noon – 10pm (Mon-Sun),Chennai,Nungambakkam,4.1,308 votes,850
FOOD COURT,8188,South Indian,11am – 11pm (Mon-Sun),Kochi,Edappally,3.0,7 votes,250
CASUAL DINING,5259,"Italian, North Indian","11am – 10:30pm (Mon-Fri),10am – 10:30pm...",Chennai,Kanathur,4.7,858 votes,1500
CASUAL DINING,4765,"North Indian, Chinese",11am – 11pm (Mon-Sun),Bangalore,Kammanahalli,3.3,5 votes,500
BEVERAGE SHOP,12120,"Beverages, Mithai","7:30am – 2pm, 4:30pm – 10pm (Mon-Sun)",Mumbai,Navghar Manikpur,3.4,28 votes,200
QUICK BITES,140,"North Indian, Chinese",12noon – 11pm (Mon-Sun),Gurgaon,Sector 17,3.6,71 votes,450
DESSERT PARLOR,14373,"Desserts, Ice Cream",11am – 12midnight (Mon-Sun),New Delhi,Tilak Nagar,3.8,20 votes,300
QUICK BITES,12275,"North Indian, Continental",7am – 10pm (Mon-Sun),Ghaziabad,Indirapuram,3.4,16 votes,500
BAR,11,"North Indian, Chinese, Continental, Momos",12noon – 12midnight (Mon-Sun),Gurgaon,Sector 50,4.2,503 votes,1500
QUICK BITES,2866,North Indian,11am – 11pm (Mon-Sun),New Delhi,Janakpuri,3.8,167 votes,400
QUICK BITES,9048,"South Indian, Biryani",11am – 10pm (Mon-Sun),Bangalore,Bannerghatta Road,3.6,30 votes,300
"BEVERAGE SHOP,DESSERT PARLOR",6481,"Beverages, Desserts, Ice Cream",24 Hours (Mon-Sun),Gurgaon,MG Road,4.6,672 votes,200
CAFÉ,3361,"Cafe, Bakery, French, Jewish, Sandwich, Vegan, Coffee","8am – 9:45pm (Mon, Thu, Fri), 1pm – 9:45pm...",Bangalore,HBR Layout,4.3,195 votes,700
CASUAL DINING,13742,"Italian, Mediterranean",12:30pm – 10:30pm (Mon-Sun),Kochi,Fort Kochi,3.8,47 votes,800
QUICK BITES,5208,Chinese,"11am – 3:30pm, 5:30pm – 11pm (Mon-Sun)",Bangalore,Koramangala 1st Block,3.7,27 votes,300
CASUAL DINING,11875,"Awadhi, Mughlai, Chinese","11am – 11pm (Mon, Wed, Thu, Fri, Sat, Sun), 4pm...",Ghaziabad,Vaishali,4.3,419 votes,500
QUICK BITES,8331,"North Indian, Fast Food",12noon – 12:30AM (Mon-Sun),Kochi,Edappally,4.1,268 votes,400
CASUAL DINING,13275,North Indian,"12noon – 4pm, 7pm – 1am (Mon-Sun)",Navi Mumbai,Vashi,4.2,1027 votes,1500
"BAR,PUB",5801,"Continental, Finger Food, North Indian, Italian, Momos",11am – 1am (Mon-Sun),New Delhi,Rajouri Garden,4.2,408 votes,1200
QUICK BITES,12085,"North Indian, South Indian, Street Food, Fast Food, Chinese",7am – 11:30pm (Mon-Sun),Mumbai,Mahim,3.7,456 votes,500
CASUAL DINING,6562,"North Indian, Mughlai",12noon – 11:30pm (Mon-Sun),Bangalore,Malleshwaram,4.2,505 votes,1500
CASUAL DINING,1974,"Continental, North Indian",11am – 11pm (Mon-Sun),Chennai,Royapettah,3.9,244 votes,850
QUICK BITES,13518,"North Indian, Chinese, Japanese",11am – 11pm (Mon-Sun),Noida,Sector 18,4.0,579 votes,750
None,8761,South Indian,11am – 8pm (Mon-Sun),Chennai,Alwarpet,4.0,66 votes,250
QUICK BITES,3973,"North Indian, Chinese",12noon – 11pm (Mon-Sun),New Delhi,Vikaspuri,4.5,66 votes,400
None,3397,Fast Food,7pm – 12midnight (Mon-Sun),Noida,Sector 51,NEW,,500
QUICK BITES,4282,"Chinese, South Indian, Street Food","2:37pm – 11pm (Mon, Sat), 3pm – 11:30pm...",Hyderabad,kukatpally,3.9,93 votes,200
"BEVERAGE SHOP,DESSERT PARLOR",9747,"Ice Cream, Bakery, Fast Food, Beverages, Desserts",11am – 1:30am (Mon-Sun),Hyderabad,Chanda Nagar,3.7,225 votes,200
CASUAL DINING,3661,South Indian,"11am – 11pm (Mon-Fri),8am – 11pm (Sat-Sun)",Mumbai,Juhu,4.3,1899 votes,600
"MICROBREWERY,CASUAL DINING",3745,"Modern Indian, Finger Food, Sushi, Bar Food, Italian, Asian, Pizza",12noon – 12midnight (Mon-Sun),Gurgaon,Sector 29,4.7,636 votes,1500
CASUAL DINING,11867,"North Eastern, Nepalese, Tibetan, Chinese","11am – 10:30pm (Mon),11am – 11pm (Tue-Sun)",New Delhi,Munirka,3.8,98 votes,800
"KIOSK,QUICK BITES",8849,"Tibetan, Momos",5:30pm – 9:30pm (Mon-Sun),Chennai,Anna Nagar East,3.6,26 votes,150
"CASUAL DINING,BAR",13763,"North Indian, Chinese, Continental",11am – 11pm (Mon-Sun),Hyderabad,Gachibowli,3.5,82 votes,800
FOOD COURT,3574,"North Indian, Chinese","12midnight – 2am, 1pm – 12midnight (Mon-Sun)",Hyderabad,Gachibowli,3.5,160 votes,500
BAKERY,3324,"Bakery, Fast Food",9am – 9pm (Mon-Sun),Kochi,Elamkulam,3.5,8 votes,300
QUICK BITES,4249,"Chinese, North Indian, Biryani","11am – 11pm (Mon, Tue, Wed, Fri, Sat, Sun)...",Hyderabad,Dilsukhnagar,3.8,674 votes,350
"CASUAL DINING,BAR",4159,"Asian, Seafood, Thai, Chinese, Momos",12noon – 1am (Mon-Sun),New Delhi,Green Park,4.3,569 votes,1400
BAKERY,2645,"Bakery, Desserts",10am – 10pm (Mon-Sun),Kochi,Kalamassery,-,,200
QUICK BITES,10843,Chinese,11am – 11pm (Mon-Sun),Secunderabad,ECIL,3.6,79 votes,350
QUICK BITES,951,Arabian,12:30pm – 11pm (Mon-Sun),Hyderabad,Film Nagar,4.0,44 votes,600
CASUAL DINING,6433,"Biryani, Hyderabadi, North Indian, Chinese","11:30am – 4pm, 6:30pm – 11pm (Mon-Sun)",Bangalore,Old Madras Road,3.8,275 votes,600
QUICK BITES,4077,Biryani,"11am – 11pm (Mon-Sat),8am – 11pm (Sun)",Bangalore,Banaswadi,3.7,302 votes,200
None,6721,"North Indian, Chinese",5:30am – 12:30AM (Mon-Sun),New Delhi,Connaught Place,3.9,1220 votes,250
CASUAL DINING,13376,"Italian, Continental","11am – 1:30am (Mon-Fri),9am – 1:30am (Sat-Sun)",Mumbai,Dadar Shivaji Park,4.1,2053 votes,1400
FINE DINING,4694,"Italian, European","12:30pm – 3:30pm, 7pm – 11:30pm (Mon-Sun)",Chennai,Teynampet,4.2,191 votes,3300
QUICK BITES,6639,Arabian,4pm – 12midnight (Mon-Sun),Kochi,Palarivattom,3.3,7 votes,300
CASUAL DINING,9798,"Thai, Chinese, Continental, Momos","11am – 3:30pm, 7pm – 11pm (Mon-Sun)",Chennai,Adyar,4.1,956 votes,600
QUICK BITES,358,"South Indian, Chinese, Arabian, Kerala","Closed (Mon),8:57am – 12midnight (Tue),8:15am –...",Kochi,Tripunithura,3.3,32 votes,200
QUICK BITES,6452,"Juices, Fast Food","10am – 11pm (Mon, Tue, Wed, Thu, Sat, Sun), 2:30pm...",Bangalore,JP Nagar,4.0,81 votes,150
KIOSK,12796,Fast Food,"12noon – 10:30pm (Mon),11:30am – 10:30pm (Tue-Sun)",Bangalore,Sanjay Nagar,3.6,18 votes,300
CASUAL DINING,1393,"South Indian, North Indian, Street Food, Chinese, Beverages",8am – 11pm (Mon-Sun),Bandra West,Hill Road,3.7,200 votes,550
CASUAL DINING,9581,"Biryani, Chinese, North Indian","12noon – 3pm, 7pm – 12midnight (Mon-Sun)",Mumbai,Borivali West,3.8,583 votes,450
CASUAL DINING,10165,"Thai, Vietnamese, Asian, Chinese",12:30pm – 12midnight (Mon-Sun),Bangalore,Jayanagar,4.0,390 votes,1200
"CAFÉ,CASUAL DINING",13118,"Cafe, Italian, American, Continental",9am – 11pm (Mon-Sun),Bangalore,Sahakar Nagar,3.6,213 votes,1100
CAFÉ,2053,"Cafe, Sandwich","10:30am – 6pm (Mon-Fri),Closed (Sat-Sun)",,,-,,400
CASUAL DINING,11586,"South Indian, North Indian",8am – 11pm (Mon-Sun),Bangalore,Race Course Road,4.1,506 votes,600
DESSERT PARLOR,8746,"Ice Cream, Desserts","11am – 12midnight (Mon, Tue, Wed, Thu, Sun), 11am...",Bangalore,Indiranagar,4.8,2173 votes,400
CASUAL DINING,4585,"Andhra, Biryani, Chinese, Continental, North Indian, South Indian,",7am – 12midnight (Mon-Sun),Hyderabad,Film Nagar,2.6,167 votes,1500
QUICK BITES,3741,"North Indian, Mughlai",5am – 1am (Mon-Sun),Hyderabad,Rajendra Nagar,3.9,190 votes,450
CASUAL DINING,6437,"Hyderabadi, Chinese, Mughlai",12:30pm – 11:30pm (Mon-Sun),Hyderabad,Gachibowli,3.9,176 votes,600
QUICK BITES,10330,"Pizza, Burger, Sandwich, Fast Food, Beverages","12noon – 12midnight (Mon-Fri),12midnight – 2am...",Chennai,Navallur,3.7,55 votes,500
CASUAL DINING,9318,"Malaysian, Chinese, North Indian",10:30am – 11pm (Mon-Sun),Chennai,T. Nagar,3.9,436 votes,800
QUICK BITES,10394,"Pizza, Fast Food",11am – 11pm (Mon-Sun),New Delhi,Preet Vihar,4.0,55 votes,250
QUICK BITES,8246,"North Indian, Fast Food",7am – 10pm (Mon-Sun),Bangalore,KR Puram,4.3,202 votes,200
CASUAL DINING,10514,"North Indian, Chinese, Continental",11am – 12midnight (Mon-Sun),Mumbai,Mulund West,4.0,744 votes,750
CASUAL DINING,7500,"BBQ, Biryani, Chinese, North Indian","12noon – 4pm, 7pm – 4am (Mon-Sun)",Chennai,Karapakkam,3.5,81 votes,700
